student_id,university_id,bootcamp,is_graduate,is_student,primary_interest
1,1,WEB,1,0,FULL_STACK
2,2,WEB,1,0,FRONT_END
3,1,WEB,1,0,FRONT_END
4,3,WEB,1,0,FULL_STACK
5,4,WEB,1,0,FRONT_END
6,5,WEB,1,0,BACK_END
7,6,WEB,1,0,FULL_STACK
8,7,WEB,1,0,BACK_END
9,3,WEB,1,0,BACK_END
10,1,WEB,1,0,FULL_STACK
11,6,WEB,1,0,BACK_END
12,1,WEB,1,0,FRONT_END
13,1,WEB,1,0,GAMES
14,7,WEB,1,0,FULL_STACK
15,5,WEB,1,0,FULL_STACK
16,7,WEB,1,0,BACK_END
17,8,WEB,1,0,UI_UX
18,9,WEB,1,0,FRONT_END
19,9,WEB,1,0,FRONT_END
20,1,WEB,1,0,GAMES
21,10,DATA,1,0,ANALYTICS
22,10,DATA,1,0,ANALYTICS
23,9,WEB,1,0,GAMES
24,1,WEB,0,0,FRONT_END
25,1,WEB,1,0,BACK_END
26,6,WEB,0,0,COMP_SEC
27,7,WEB,1,0,FRONT_END
28,9,DATA,1,0,VISUALIZATION
29,11,DATA,1,1,DEEP_LEARNING
30,11,DATA,1,1,ANALYTICS
31,11,DATA,1,1,ANALYTICS
33,6,DATA,1,0,DATA_ENGINEERING
34,10,DATA,0,0,DATA_ENGINEERING
35,12,DATA,1,0,ANALYTICS
36,8,DATA,0,0,ANALYTICS
37,10,DATA,0,0,GEO_DATA
38,13,DATA,0,0,ANALYTICS
39,6,DATA,0,0,VISUALIZATION
40,14,DATA,0,0,ANALYTICS
41,15,DATA,0,0,ANALYTICS
42,16,DATA,1,0,MACHINE_LEARNING
43,16,DATA,1,0,MACHINE_LEARNING
44,16,DATA,1,0,VISUALIZATION
45,16,DATA,1,0,DATA_ENGINEERING
46,16,DATA,1,0,ANALYTICS
47,17,DATA,0,0,ANALYTICS
48,18,DATA,0,0,ANALYTICS
49,10,DATA,0,0,ANALYTICS
50,6,WEB,0,0,BIOINFORMATICS
51,6,WEB,0,0,FULL_STACK
52,6,DATA,0,0,DATA_ENGINEERING
53,8,DATA,0,0,ANALYTICS
54,7,DATA,0,0,DATA_ENGINEERING
55,7,DATA,0,0,VISUALIZATION
56,7,DATA,0,0,ANALYTICS
57,8,DATA,0,0,ANALYTICS
58,19,DATA,0,0,ANALYTICS
59,15,DATA,0,0,ANALYTICS
60,11,DATA,1,1,ANALYTICS
61,20,DATA,0,0,ANALYTICS
62,21,DATA,0,0,ANALYTICS
63,22,DATA,0,0,ANALYTICS
64,23,DATA,0,0,MACHINE_LEARNING
65,16,DATA,0,0,MACHINE_LEARNING
66,61,DATA,0,0,ANALYTICS
67,11,DATA,1,1,VISUALIZATION
68,11,DATA,1,1,BACK_END
69,11,DATA,1,1,VISUALIZATION
70,11,DATA,1,1,MACHINE_LEARNING
71,11,DATA,1,1,DATA_ENGINEERING
72,8,DATA,0,0,MACHINE_LEARNING
73,19,DATA,0,0,SOFTWARE_ENGINEERING
74,2,DATA,0,0,ANALYTICS
75,10,DATA,0,0,DATA_ENGINEERING
76,10,DATA,0,0,ANALYTICS
77,4,DATA,0,0,ANALYTICS
78,10,DATA,0,1,ANALYTICS
79,10,DATA,1,1,ANALYTICS
